iter	RMSE
0	5.159965133
1	5.090512606
2	5.021938359
3	4.954327053
4	4.887590732
5	4.821863002
6	4.756983337
7	4.692904253
8	4.62980702
9	4.567533313
10	4.506015856
11	4.445387246
12	4.385529467
13	4.326551355
14	4.26830905
15	4.210878236
16	4.154189564
17	4.098304621
18	4.043118059
19	3.988737887
20	3.93500107
21	3.882037727
22	3.829830093
23	3.778303573
24	3.727481419
25	3.677302496
26	3.627785153
27	3.578991043
28	3.53083556
29	3.483350986
30	3.436432095
31	3.390222955
32	3.344583986
33	3.299574865
34	3.25518481
35	3.211404171
36	3.168253312
37	3.125659212
38	3.08367513
39	3.042248089
40	3.001362068
41	2.960979608
42	2.921160748
43	2.8818953
44	2.84320547
45	2.804982923
46	2.7672664
47	2.73007077
48	2.693363806
49	2.657125245
50	2.621443135
51	2.586230028
52	2.551492735
53	2.517198422
54	2.483408898
55	2.450025868
56	2.417113297
57	2.384651024
58	2.352669798
59	2.321079474
60	2.289892076
61	2.25916483
62	2.228832909
63	2.198899159
64	2.169386549
65	2.140265892
66	2.111505155
67	2.083156938
68	2.055211456
69	2.027607923
70	2.000403227
71	1.9735928
72	1.947100716
73	1.921003251
74	1.895247934
75	1.869825265
76	1.844781452
77	1.820046004
78	1.795647134
79	1.77159729
80	1.74784384
81	1.724430755
82	1.701319633
83	1.67851974
84	1.656054393
85	1.633881853
86	1.611998974
87	1.590426537
88	1.569149366
89	1.548093612
90	1.527373235
91	1.506947351
92	1.486744464
93	1.466851243
94	1.447243911
95	1.427884284
96	1.408802415
97	1.389990131
98	1.37144009
99	1.353145999
