iter	Passed	Remaining
0	4	460
1	8	394
2	10	354
3	14	355
4	17	340
5	20	324
6	24	321
7	28	323
8	31	314
9	40	362
10	66	537
11	77	565
12	85	572
13	88	546
14	91	520
15	95	501
16	98	479
17	102	464
18	104	447
19	107	429
20	110	415
21	113	402
22	116	390
23	119	379
24	121	364
25	125	357
26	129	348
27	132	341
28	135	331
29	137	321
30	140	312
31	148	316
32	157	320
33	161	313
34	166	309
35	176	313
36	197	336
37	201	328
38	204	319
39	222	333
40	254	366
41	263	364
42	266	353
43	269	343
44	272	332
45	275	323
46	280	316
47	284	308
48	288	300
49	292	292
50	296	284
51	299	276
52	304	270
53	336	286
54	345	282
55	350	275
56	353	267
57	356	258
58	360	250
59	363	242
60	366	234
61	368	225
62	371	217
63	373	210
64	377	203
65	380	195
66	382	188
67	385	181
68	387	174
69	389	166
70	391	159
71	392	152
72	394	145
73	395	138
74	396	132
75	398	125
76	400	119
77	401	113
78	403	107
79	405	101
80	407	95
81	409	89
82	410	84
83	411	78
84	413	72
85	415	67
86	418	62
87	420	57
88	423	52
89	424	47
90	428	42
91	489	42
92	496	37
93	499	31
94	502	26
95	507	21
96	510	15
97	514	10
98	516	5
99	519	0
